"Sources of irrigation of actually irrigated lands (01.08.2013-31.07.2014) by legal status, sources of irrigation and marzes"

"legal status","sources of irrigation","Republic of Armenia, total","Aragatsotn","Ararat","Armavir","Gegharkunik","Lori","Kotayk","Shirak","Syunik","Vayots dzor","Tavush","Yerevan"
"Holdings without legal status","general irrigation network",156635,16181,32093,25943,17806,4025,22308,14382,5982,5561,8587,3767
"Holdings without legal status","river, stream, lake",47264,5315,3158,2283,13875,3789,2311,1462,7985,4250,1929,907
"Holdings without legal status","deep wells",38425,318,17053,12664,6655,540,403,618,38,30,96,10
"Holdings without legal status","drinking water",67555,3465,2000,2973,7278,8038,7283,5712,8452,1195,16840,4319
"Holdings without legal status","other",10460,535,184,6195,729,761,355,502,454,42,359,344
"Holdings with legal status","general irrigation network",73,6,8,16,1,4,2,9,2,9,4,12
"Holdings with legal status","river, stream, lake",16,-,-,1,1,-,2,2,5,2,1,2
"Holdings with legal status","deep wells",6,-,1,2,-,1,-,-,-,-,-,2
"Holdings with legal status","drinking water",9,-,-,-,2,-,3,-,1,-,3,-
"Holdings with legal status","other",-,-,-,-,-,-,-,-,-,-,-,-
