PROVINCE,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ALL,0.03,31.64,4.1,30.63,0.23,78.86,54.18,13.21,6.78,0.0,0.0,0.59,5.5,9.97,0.34,1.86,0.07,7.95,0.37,10.04,4.24,0.54,11.88,3.28,2.2,1.25,0.03,0.008,6.47,0.93,4.46,5.43,0.62,2.51,2.05,6.42,6.23,22.66,11.05,5.01,1.35
Aragatsotn,0.21,44.43,9.4,32.54,0.0,100.0,43.67,9.83,1.08,0.0,0.0,1.94,10.37,17.4,0.0,1.18,0.0,0.21,0.0,12.97,0.0,0.0,0.1,0.0,11.35,0.0,0.0,0.0,15.13,3.56,15.67,3.13,0.21,3.67,3.24,1.29,1.18,21.83,21.94,7.02,4.54
Ararat,0.0,43.51,5.45,18.97,0.0,98.58,43.62,44.6,7.63,0.0,0.0,0.98,7.52,2.61,0.21,14.5,0.21,37.07,0.0,3.05,0.0,0.0,5.67,0.54,4.25,0.1,0.0,0.0,7.63,0.32,3.38,1.09,0.65,1.52,7.63,7.63,4.03,17.12,30.09,12.86,2.18
Armavir,0.18,79.11,11.17,3.99,0.0,96.63,19.61,23.79,2.99,0.0,0.0,0.0,17.34,5.17,0.0,0.63,0.09,1.9,0.0,0.54,9.71,0.0,0.45,0.99,7.26,0.45,0.0,0.0,32.06,3.72,14.16,13.44,6.08,17.43,7.08,14.44,4.08,33.51,51.04,17.25,6.44
Gegharkunik,0.0,43.51,2.4,84.52,0.0,46.22,60.47,2.86,1.48,0.0,0.0,2.14,7.61,3.32,0.51,3.01,0.1,15.42,2.4,18.59,16.8,0.15,20.12,0.15,0.0,0.1,0.05,0.05,0.71,0.05,0.25,11.69,0.0,0.35,0.15,10.01,3.26,44.38,6.84,0.25,0.0
Kotayk,0.0,49.62,6.78,54.75,0.0,99.69,80.46,28.35,37.78,0.0,0.0,0.15,6.56,0.45,0.45,0.0,0.0,0.22,0.0,14.4,0.0,0.0,10.93,0.22,3.31,0.0,0.0,0.0,8.14,0.98,6.63,1.96,0.0,1.13,1.05,1.58,0.07,14.55,7.76,3.39,0.83
Lori,0.0,2.59,2.82,18.04,0.0,61.61,53.74,0.44,9.35,0.0,0.0,0.0,0.07,2.97,0.14,0.0,0.0,0.07,0.0,2.0,2.37,0.0,0.22,0.0,0.0,0.81,0.0,0.0,0.44,0.07,0.89,0.22,0.0,0.0,0.0,0.59,0.14,0.37,0.0,0.0,0.0
Shirak,0.0,9.33,1.64,33.97,0.0,99.7,48.41,0.0,0.0,0.0,0.0,0.0,0.17,47.41,0.0,0.0,0.0,0.0,0.0,19.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.99,0.35,0.0,0.11,0.0,0.11,0.29,14.14,0.99,0.0,0.0
Syunik,0.0,12.64,0.0,6.67,1.09,73.13,61.16,15.6,3.29,0.0,0.0,0.0,1.43,5.58,0.0,0.33,0.0,12.26,0.04,3.67,0.23,3.19,40.45,18.51,0.04,1.14,0.19,0.0,0.09,0.66,0.04,10.44,0.0,1.67,1.57,12.02,19.41,26.86,1.81,7.77,0.09
Tavush,0.0,2.37,5.09,8.82,0.0,11.71,11.37,0.0,0.0,0.0,0.0,0.0,0.34,1.01,4.07,0.0,0.84,0.0,0.0,11.71,12.39,0.0,0.5,1.86,0.0,20.03,0.0,0.0,16.29,2.2,17.31,1.01,0.0,1.52,1.69,13.41,35.65,7.81,2.37,3.22,1.69
Vayots Dzor,0.0,41.33,0.47,2.38,0.83,98.92,93.54,17.44,0.11,0.0,0.0,0.71,8.84,0.0,0.0,2.74,0.0,11.7,0.0,8.36,0.0,0.0,9.43,0.0,0.47,0.0,0.0,0.0,0.11,0.0,0.0,0.83,0.0,0.0,0.0,2.15,2.03,27.71,2.15,0.11,0.0
Erevan,0.0,87.83,41.89,13.51,0.0,100.0,32.43,39.18,47.29,0.0,0.0,0.0,9.45,0.0,0.0,0.0,0.0,0.0,0.0,14.86,0.0,0.0,0.0,2.7,14.86,0.0,0.0,0.0,50.0,1.35,24.32,22.97,8.1,21.62,36.48,13.51,5.4,54.05,78.37,54.05,24.32
