PROVINCE,YEAR,DATA
ALL,1984,0.03
Aragatsotn,1984,0.21
Ararat,1984,0.0
Armavir,1984,0.18
Gegharkunik,1984,0.0
Kotayk,1984,0.0
Lor,1984,0.0
Shirak,1984,0.0
Syunik,1984,0.0
Tavush,1984,0.0
Vayots dzor,1984,0.0
Yerevan,1984,0.0
ALL,1985,31.64
Aragatsotn,1985,44.43
Ararat,1985,43.51
Armavir,1985,79.11
Gegharkunik,1985,43.51
Kotayk,1985,49.62
Lor,1985,2.59
Shirak,1985,9.33
Syunik,1985,12.64
Tavush,1985,2.37
Vayots dzor,1985,41.33
Yerevan,1985,87.83
ALL,1986,4.1
Aragatsotn,1986,9.4
Ararat,1986,5.45
Armavir,1986,11.17
Gegharkunik,1986,2.4
Kotayk,1986,6.78
Lor,1986,2.82
Shirak,1986,1.64
Syunik,1986,0.0
Tavush,1986,5.09
Vayots dzor,1986,0.47
Yerevan,1986,41.89
ALL,1987,30.63
Aragatsotn,1987,32.54
Ararat,1987,18.97
Armavir,1987,3.99
Gegharkunik,1987,84.52
Kotayk,1987,54.75
Lor,1987,18.04
Shirak,1987,33.97
Syunik,1987,6.67
Tavush,1987,8.82
Vayots dzor,1987,2.38
Yerevan,1987,13.51
ALL,1988,0.23
Aragatsotn,1988,0.0
Ararat,1988,0.0
Armavir,1988,0.0
Gegharkunik,1988,0.0
Kotayk,1988,0.0
Lor,1988,0.0
Shirak,1988,0.0
Syunik,1988,1.09
Tavush,1988,0.0
Vayots dzor,1988,0.83
Yerevan,1988,0.0
ALL,1989,78.86
Aragatsotn,1989,100.0
Ararat,1989,98.58
Armavir,1989,96.63
Gegharkunik,1989,46.22
Kotayk,1989,99.69
Lor,1989,61.61
Shirak,1989,99.7
Syunik,1989,73.13
Tavush,1989,11.71
Vayots dzor,1989,98.92
Yerevan,1989,100.0
ALL,1990,54.18
Aragatsotn,1990,43.67
Ararat,1990,43.62
Armavir,1990,19.61
Gegharkunik,1990,60.47
Kotayk,1990,80.46
Lor,1990,53.74
Shirak,1990,48.41
Syunik,1990,61.16
Tavush,1990,11.37
Vayots dzor,1990,93.54
Yerevan,1990,32.43
ALL,1991,13.21
Aragatsotn,1991,9.83
Ararat,1991,44.6
Armavir,1991,23.79
Gegharkunik,1991,2.86
Kotayk,1991,28.35
Lor,1991,0.44
Shirak,1991,0.0
Syunik,1991,15.6
Tavush,1991,0.0
Vayots dzor,1991,17.44
Yerevan,1991,39.18
ALL,1992,6.78
Aragatsotn,1992,1.08
Ararat,1992,7.63
Armavir,1992,2.99
Gegharkunik,1992,1.48
Kotayk,1992,37.78
Lor,1992,9.35
Shirak,1992,0.0
Syunik,1992,3.29
Tavush,1992,0.0
Vayots dzor,1992,0.11
Yerevan,1992,47.29
ALL,1993,0.0
Aragatsotn,1993,0.0
Ararat,1993,0.0
Armavir,1993,0.0
Gegharkunik,1993,0.0
Kotayk,1993,0.0
Lor,1993,0.0
Shirak,1993,0.0
Syunik,1993,0.0
Tavush,1993,0.0
Vayots dzor,1993,0.0
Yerevan,1993,0.0
ALL,1994,0.0
Aragatsotn,1994,0.0
Ararat,1994,0.0
Armavir,1994,0.0
Gegharkunik,1994,0.0
Kotayk,1994,0.0
Lor,1994,0.0
Shirak,1994,0.0
Syunik,1994,0.0
Tavush,1994,0.0
Vayots dzor,1994,0.0
Yerevan,1994,0.0
ALL,1995,0.59
Aragatsotn,1995,1.94
Ararat,1995,0.98
Armavir,1995,0.0
Gegharkunik,1995,2.14
Kotayk,1995,0.15
Lor,1995,0.0
Shirak,1995,0.0
Syunik,1995,0.0
Tavush,1995,0.0
Vayots dzor,1995,0.71
Yerevan,1995,0.0
ALL,1996,5.5
Aragatsotn,1996,10.37
Ararat,1996,7.52
Armavir,1996,17.34
Gegharkunik,1996,7.61
Kotayk,1996,6.56
Lor,1996,0.07
Shirak,1996,0.17
Syunik,1996,1.43
Tavush,1996,0.34
Vayots dzor,1996,8.84
Yerevan,1996,9.45
ALL,1997,9.97
Aragatsotn,1997,17.4
Ararat,1997,2.61
Armavir,1997,5.17
Gegharkunik,1997,3.32
Kotayk,1997,0.45
Lor,1997,2.97
Shirak,1997,47.41
Syunik,1997,5.58
Tavush,1997,1.01
Vayots dzor,1997,0.0
Yerevan,1997,0.0
ALL,1998,0.34
Aragatsotn,1998,0.0
Ararat,1998,0.21
Armavir,1998,0.0
Gegharkunik,1998,0.51
Kotayk,1998,0.45
Lor,1998,0.14
Shirak,1998,0.0
Syunik,1998,0.0
Tavush,1998,4.07
Vayots dzor,1998,0.0
Yerevan,1998,0.0
ALL,1999,1.86
Aragatsotn,1999,1.18
Ararat,1999,14.5
Armavir,1999,0.63
Gegharkunik,1999,3.01
Kotayk,1999,0.0
Lor,1999,0.0
Shirak,1999,0.0
Syunik,1999,0.33
Tavush,1999,0.0
Vayots dzor,1999,2.74
Yerevan,1999,0.0
ALL,2000,0.07
Aragatsotn,2000,0.0
Ararat,2000,0.21
Armavir,2000,0.09
Gegharkunik,2000,0.1
Kotayk,2000,0.0
Lor,2000,0.0
Shirak,2000,0.0
Syunik,2000,0.0
Tavush,2000,0.84
Vayots dzor,2000,0.0
Yerevan,2000,0.0
ALL,2001,7.95
Aragatsotn,2001,0.21
Ararat,2001,37.07
Armavir,2001,1.9
Gegharkunik,2001,15.42
Kotayk,2001,0.22
Lor,2001,0.07
Shirak,2001,0.0
Syunik,2001,12.26
Tavush,2001,0.0
Vayots dzor,2001,11.7
Yerevan,2001,0.0
ALL,2002,0.37
Aragatsotn,2002,0.0
Ararat,2002,0.0
Armavir,2002,0.0
Gegharkunik,2002,2.4
Kotayk,2002,0.0
Lor,2002,0.0
Shirak,2002,0.0
Syunik,2002,0.04
Tavush,2002,0.0
Vayots dzor,2002,0.0
Yerevan,2002,0.0
ALL,2003,10.04
Aragatsotn,2003,12.97
Ararat,2003,3.05
Armavir,2003,0.54
Gegharkunik,2003,18.59
Kotayk,2003,14.4
Lor,2003,2.0
Shirak,2003,19.36
Syunik,2003,3.67
Tavush,2003,11.71
Vayots dzor,2003,8.36
Yerevan,2003,14.86
ALL,2004,4.24
Aragatsotn,2004,0.0
Ararat,2004,0.0
Armavir,2004,9.71
Gegharkunik,2004,16.8
Kotayk,2004,0.0
Lor,2004,2.37
Shirak,2004,0.0
Syunik,2004,0.23
Tavush,2004,12.39
Vayots dzor,2004,0.0
Yerevan,2004,0.0
ALL,2005,0.54
Aragatsotn,2005,0.0
Ararat,2005,0.0
Armavir,2005,0.0
Gegharkunik,2005,0.15
Kotayk,2005,0.0
Lor,2005,0.0
Shirak,2005,0.0
Syunik,2005,3.19
Tavush,2005,0.0
Vayots dzor,2005,0.0
Yerevan,2005,0.0
ALL,2006,11.88
Aragatsotn,2006,0.1
Ararat,2006,5.67
Armavir,2006,0.45
Gegharkunik,2006,20.12
Kotayk,2006,10.93
Lor,2006,0.22
Shirak,2006,0.0
Syunik,2006,40.45
Tavush,2006,0.5
Vayots dzor,2006,9.43
Yerevan,2006,0.0
ALL,2007,3.28
Aragatsotn,2007,0.0
Ararat,2007,0.54
Armavir,2007,0.99
Gegharkunik,2007,0.15
Kotayk,2007,0.22
Lor,2007,0.0
Shirak,2007,0.0
Syunik,2007,18.51
Tavush,2007,1.86
Vayots dzor,2007,0.0
Yerevan,2007,2.7
ALL,2008,2.2
Aragatsotn,2008,11.35
Ararat,2008,4.25
Armavir,2008,7.26
Gegharkunik,2008,0.0
Kotayk,2008,3.31
Lor,2008,0.0
Shirak,2008,0.0
Syunik,2008,0.04
Tavush,2008,0.0
Vayots dzor,2008,0.47
Yerevan,2008,14.86
ALL,2009,1.25
Aragatsotn,2009,0.0
Ararat,2009,0.1
Armavir,2009,0.45
Gegharkunik,2009,0.1
Kotayk,2009,0.0
Lor,2009,0.81
Shirak,2009,0.0
Syunik,2009,1.14
Tavush,2009,20.03
Vayots dzor,2009,0.0
Yerevan,2009,0.0
ALL,2010,0.03
Aragatsotn,2010,0.0
Ararat,2010,0.0
Armavir,2010,0.0
Gegharkunik,2010,0.05
Kotayk,2010,0.0
Lor,2010,0.0
Shirak,2010,0.0
Syunik,2010,0.19
Tavush,2010,0.0
Vayots dzor,2010,0.0
Yerevan,2010,0.0
ALL,2011,0.008
Aragatsotn,2011,0.0
Ararat,2011,0.0
Armavir,2011,0.0
Gegharkunik,2011,0.05
Kotayk,2011,0.0
Lor,2011,0.0
Shirak,2011,0.0
Syunik,2011,0.0
Tavush,2011,0.0
Vayots dzor,2011,0.0
Yerevan,2011,0.0
ALL,2012,6.47
Aragatsotn,2012,15.13
Ararat,2012,7.63
Armavir,2012,32.06
Gegharkunik,2012,0.71
Kotayk,2012,8.14
Lor,2012,0.44
Shirak,2012,0.41
Syunik,2012,0.09
Tavush,2012,16.29
Vayots dzor,2012,0.11
Yerevan,2012,50.0
ALL,2013,0.93
Aragatsotn,2013,3.56
Ararat,2013,0.32
Armavir,2013,3.72
Gegharkunik,2013,0.05
Kotayk,2013,0.98
Lor,2013,0.07
Shirak,2013,0.0
Syunik,2013,0.66
Tavush,2013,2.2
Vayots dzor,2013,0.0
Yerevan,2013,1.35
ALL,2014,4.46
Aragatsotn,2014,15.67
Ararat,2014,3.38
Armavir,2014,14.16
Gegharkunik,2014,0.25
Kotayk,2014,6.63
Lor,2014,0.89
Shirak,2014,0.99
Syunik,2014,0.04
Tavush,2014,17.31
Vayots dzor,2014,0.0
Yerevan,2014,24.32
ALL,2015,5.43
Aragatsotn,2015,3.13
Ararat,2015,1.09
Armavir,2015,13.44
Gegharkunik,2015,11.69
Kotayk,2015,1.96
Lor,2015,0.22
Shirak,2015,0.35
Syunik,2015,10.44
Tavush,2015,1.01
Vayots dzor,2015,0.83
Yerevan,2015,22.97
ALL,2016,0.62
Aragatsotn,2016,0.21
Ararat,2016,0.65
Armavir,2016,6.08
Gegharkunik,2016,0.0
Kotayk,2016,0.0
Lor,2016,0.0
Shirak,2016,0.0
Syunik,2016,0.0
Tavush,2016,0.0
Vayots dzor,2016,0.0
Yerevan,2016,8.1
ALL,2017,2.51
Aragatsotn,2017,3.67
Ararat,2017,1.52
Armavir,2017,17.43
Gegharkunik,2017,0.35
Kotayk,2017,1.13
Lor,2017,0.0
Shirak,2017,0.11
Syunik,2017,1.67
Tavush,2017,1.52
Vayots dzor,2017,0.0
Yerevan,2017,21.62
ALL,2018,2.05
Aragatsotn,2018,3.24
Ararat,2018,7.63
Armavir,2018,7.08
Gegharkunik,2018,0.15
Kotayk,2018,1.05
Lor,2018,0.0
Shirak,2018,0.0
Syunik,2018,1.57
Tavush,2018,1.69
Vayots dzor,2018,0.0
Yerevan,2018,36.48
ALL,2019,6.42
Aragatsotn,2019,1.29
Ararat,2019,7.63
Armavir,2019,14.44
Gegharkunik,2019,10.01
Kotayk,2019,1.58
Lor,2019,0.59
Shirak,2019,0.11
Syunik,2019,12.02
Tavush,2019,13.41
Vayots dzor,2019,2.15
Yerevan,2019,13.51
ALL,2020,6.23
Aragatsotn,2020,1.18
Ararat,2020,4.03
Armavir,2020,4.08
Gegharkunik,2020,3.26
Kotayk,2020,0.07
Lor,2020,0.14
Shirak,2020,0.29
Syunik,2020,19.41
Tavush,2020,35.65
Vayots dzor,2020,2.03
Yerevan,2020,5.4
ALL,2021,22.66
Aragatsotn,2021,21.83
Ararat,2021,17.12
Armavir,2021,33.51
Gegharkunik,2021,44.38
Kotayk,2021,14.55
Lor,2021,0.37
Shirak,2021,14.14
Syunik,2021,26.86
Tavush,2021,7.81
Vayots dzor,2021,27.71
Yerevan,2021,54.05
ALL,2022,11.05
Aragatsotn,2022,21.94
Ararat,2022,30.09
Armavir,2022,51.04
Gegharkunik,2022,6.84
Kotayk,2022,7.76
Lor,2022,0.0
Shirak,2022,0.99
Syunik,2022,1.81
Tavush,2022,2.37
Vayots dzor,2022,2.15
Yerevan,2022,78.37
ALL,2023,5.01
Aragatsotn,2023,7.02
Ararat,2023,12.86
Armavir,2023,17.25
Gegharkunik,2023,0.25
Kotayk,2023,3.39
Lor,2023,0.0
Shirak,2023,0.0
Syunik,2023,7.77
Tavush,2023,3.22
Vayots dzor,2023,0.11
Yerevan,2023,54.05
ALL,2024,1.35
Aragatsotn,2024,4.54
Ararat,2024,2.18
Armavir,2024,6.44
Gegharkunik,2024,0.0
Kotayk,2024,0.83
Lor,2024,0.0
Shirak,2024,0.0
Syunik,2024,0.09
Tavush,2024,1.69
Vayots dzor,2024,0.0
Yerevan,2024,24.32
