district_name,year,dummy_drought_consecutive
Aragatsotn,2011,0
Aragatsotn,2012,0
Aragatsotn,2013,0
Aragatsotn,2014,0
Aragatsotn,2015,0
Aragatsotn,2016,0
Aragatsotn,2017,0
Aragatsotn,2018,1
Aragatsotn,2019,1
Aragatsotn,2020,1
Aragatsotn,2021,1
Aragatsotn,2022,1
Aragatsotn,2023,1
Aragatsotn,2024,1
Aragatsotn,2025,1
Ararat,2011,0
Ararat,2012,0
Ararat,2013,0
Ararat,2014,0
Ararat,2015,0
Ararat,2016,0
Ararat,2017,0
Ararat,2018,1
Ararat,2019,1
Ararat,2020,1
Ararat,2021,1
Ararat,2022,1
Ararat,2023,1
Ararat,2024,1
Ararat,2025,1
Armavir,2011,0
Armavir,2012,0
Armavir,2013,0
Armavir,2014,0
Armavir,2015,0
Armavir,2016,0
Armavir,2017,0
Armavir,2018,1
Armavir,2019,1
Armavir,2020,1
Armavir,2021,1
Armavir,2022,1
Armavir,2023,1
Armavir,2024,1
Armavir,2025,1
Erevan,2011,0
Erevan,2012,0
Erevan,2013,0
Erevan,2014,0
Erevan,2015,0
Erevan,2016,0
Erevan,2017,0
Erevan,2018,1
Erevan,2019,1
Erevan,2020,1
Erevan,2021,1
Erevan,2022,1
Erevan,2023,1
Erevan,2024,1
Erevan,2025,1
Gegharkunik,2011,0
Gegharkunik,2012,0
Gegharkunik,2013,0
Gegharkunik,2014,0
Gegharkunik,2015,0
Gegharkunik,2016,0
Gegharkunik,2017,0
Gegharkunik,2018,0
Gegharkunik,2019,0
Gegharkunik,2020,0
Gegharkunik,2021,0
Gegharkunik,2022,0
Gegharkunik,2023,0
Gegharkunik,2024,0
Gegharkunik,2025,0
Kotayk,2011,0
Kotayk,2012,0
Kotayk,2013,0
Kotayk,2014,0
Kotayk,2015,0
Kotayk,2016,0
Kotayk,2017,0
Kotayk,2018,1
Kotayk,2019,1
Kotayk,2020,1
Kotayk,2021,1
Kotayk,2022,1
Kotayk,2023,1
Kotayk,2024,1
Kotayk,2025,1
Lori,2011,0
Lori,2012,0
Lori,2013,0
Lori,2014,0
Lori,2015,0
Lori,2016,0
Lori,2017,0
Lori,2018,0
Lori,2019,1
Lori,2020,1
Lori,2021,1
Lori,2022,1
Lori,2023,1
Lori,2024,1
Lori,2025,1
Shirak,2011,0
Shirak,2012,0
Shirak,2013,0
Shirak,2014,0
Shirak,2015,0
Shirak,2016,0
Shirak,2017,0
Shirak,2018,0
Shirak,2019,0
Shirak,2020,0
Shirak,2021,0
Shirak,2022,0
Shirak,2023,0
Shirak,2024,0
Shirak,2025,0
Syunik,2011,0
Syunik,2012,0
Syunik,2013,0
Syunik,2014,0
Syunik,2015,0
Syunik,2016,0
Syunik,2017,0
Syunik,2018,0
Syunik,2019,0
Syunik,2020,0
Syunik,2021,0
Syunik,2022,0
Syunik,2023,0
Syunik,2024,0
Syunik,2025,0
Tavush,2011,0
Tavush,2012,0
Tavush,2013,0
Tavush,2014,0
Tavush,2015,0
Tavush,2016,0
Tavush,2017,0
Tavush,2018,0
Tavush,2019,1
Tavush,2020,1
Tavush,2021,1
Tavush,2022,1
Tavush,2023,1
Tavush,2024,1
Tavush,2025,1
Vayots Dzor,2011,0
Vayots Dzor,2012,0
Vayots Dzor,2013,0
Vayots Dzor,2014,0
Vayots Dzor,2015,0
Vayots Dzor,2016,0
Vayots Dzor,2017,1
Vayots Dzor,2018,1
Vayots Dzor,2019,1
Vayots Dzor,2020,1
Vayots Dzor,2021,1
Vayots Dzor,2022,1
Vayots Dzor,2023,1
Vayots Dzor,2024,1
Vayots Dzor,2025,1
